family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
observed,observed_sub8:PC28方案单双共识:odd_even,target100_bankroll,3,3,0,False,0,22.65,177.95,33.1,59.35
observed,observed_sub8:PC28方案单双共识:odd_even,target100_limit99,3,3,0,False,0,22.65,177.95,33.1,59.35
observed,observed_sub9:PC28方案组合高命共识（28%）:combo,target100_bankroll,3,1,0,False,0,-19.4,-19.4,24.18,41.66
observed,observed_sub9:PC28方案组合高命共识（28%）:combo,target100_limit99,3,1,0,False,0,-19.4,-19.4,24.18,41.66
predictions,consensus789:big_small:pc28_high_regular,target100_bankroll,3,3,0,False,1,-99.7,-145.75,99.7,182.8
predictions,consensus789:big_small:pc28_high_regular,target100_limit99,3,3,0,False,0,-98.7,-144.75,98.7,181.8
predictions,consensus789:big_small:pc28_netdisk_regular,target100_bankroll,3,3,0,False,1,-99.48,-202.2,99.48,133.56
predictions,consensus789:big_small:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.42,-201.14,98.42,132.5
predictions,consensus789:combo:pc28_high_regular,target100_bankroll,3,3,1,False,1,-99.2,-39.17,99.2,160.84
predictions,consensus789:combo:pc28_high_regular,target100_limit99,3,3,1,False,0,-98.2,-38.17,98.2,159.84
predictions,consensus789:combo:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-99.2,-297.6,99.2,142.6
predictions,consensus789:combo:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.4,-294.8,98.4,141.6
predictions,consensus789:odd_even:pc28_high_regular,target100_bankroll,3,3,0,False,1,-99.6,-43.05,99.6,99.6
predictions,consensus789:odd_even:pc28_high_regular,target100_limit99,3,3,0,False,0,-98.6,-42.05,98.6,98.6
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_bankroll,3,3,0,False,1,-99.62,-131.06,99.62,101.56
predictions,consensus789:odd_even:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.38,-129.82,98.38,100.32
predictions,fixed:big_small:大:pc28_high_regular,target100_bankroll,3,3,0,False,1,-99.3,-32.8,99.3,146.2
predictions,fixed:big_small:大:pc28_high_regular,target100_limit99,3,3,0,False,0,-98.3,-31.8,98.3,145.2
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_bankroll,3,3,0,False,2,-99.82,-202.32,99.82,137.44
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.82,-200.28,98.82,136.4
predictions,fixed:big_small:小:pc28_high_regular,target100_bankroll,3,3,1,False,1,-99.05,-21.45,99.05,151.65
predictions,fixed:big_small:小:pc28_high_regular,target100_limit99,3,3,1,False,0,-98.05,-20.45,98.05,150.65
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_bankroll,3,3,0,False,2,-99.62,-251.8,99.62,128.98
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.62,-249.8,98.62,127.98
predictions,fixed:combo:大单:pc28_high_regular,target100_bankroll,3,3,1,False,2,-99.67,-95.58,99.67,169.84
predictions,fixed:combo:大单:pc28_high_regular,target100_limit99,3,3,1,False,0,-98.67,-93.58,98.67,168.84
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_bankroll,3,3,0,False,2,-99.4,-193.4,99.4,135.6
predictions,fixed:combo:大单:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-98.6,-191.6,98.6,134.8
predictions,fixed:combo:大双:pc28_high_regular,target100_bankroll,3,3,1,False,1,-99.14,-5.12,99.14,171.98
predictions,fixed:combo:大双:pc28_high_regular,target100_limit99,3,3,1,False,0,-98.14,-4.12,98.14,170.98
