family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue,target_reached,last_bet_time_cn
predictions,fixed:big_small:大:pc28_high_regular,target100_limit99,2026-07,9246,9246,8.25,108.25,39.15,60.85,88.75,2505,2115,4626,sample_end,3463907,False,2026-07-31T23:59:00+08:00
predictions,fixed:big_small:大:pc28_high_regular,target100_limit99,2026-08,6358,5593,-98.3,1.7,1.7,98.3,145.2,1462,1328,2803,loss_limit,3475604,False,2026-08-30T02:15:30+08:00
predictions,fixed:big_small:大:pc28_high_regular,target100_limit99,2026-09,2813,2813,58.25,158.25,96.5,3.5,52.05,785,634,1394,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_bankroll,2026-07,9246,8992,-99.82,0.18,0.18,99.82,114.16,4491,0,4501,insufficient_for_one_unit,3463653,False,2026-07-31T08:37:00+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_bankroll,2026-08,6358,6348,-99.12,0.88,0.88,99.12,137.44,3156,0,3192,insufficient_for_one_unit,3476359,False,2026-08-31T23:24:00+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_bankroll,2026-09,2813,2813,-3.38,96.62,76.86,23.14,44.92,1419,0,1394,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_limit99,2026-07,9246,8991,-98.82,1.18,1.18,98.82,113.16,4491,0,4500,loss_limit,3463652,False,2026-07-31T08:33:30+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_limit99,2026-08,6358,6343,-98.08,1.92,1.92,98.08,136.4,3154,0,3189,loss_limit,3476354,False,2026-08-31T23:06:30+08:00
predictions,fixed:big_small:大:pc28_netdisk_regular,target100_limit99,2026-09,2813,2813,-3.38,96.62,76.86,23.14,44.92,1419,0,1394,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_bankroll,2026-07,9246,4279,-99.05,0.95,0.95,99.05,151.65,1107,1025,2147,insufficient_for_one_unit,3458940,False,2026-07-19T15:05:30+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_bankroll,2026-08,6358,6356,101.7,201.7,51.3,48.7,81.1,1762,1436,3158,profit_target,3476367,True,2026-08-31T23:52:00+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_bankroll,2026-09,2813,2813,-24.1,75.9,44.5,55.5,61.25,754,640,1419,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_limit99,2026-07,9246,4278,-98.05,1.95,1.95,98.05,150.65,1107,1025,2146,loss_limit,3458939,False,2026-07-19T15:02:00+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_limit99,2026-08,6358,6356,101.7,201.7,51.3,48.7,81.1,1762,1436,3158,profit_target,3476367,True,2026-08-31T23:52:00+08:00
predictions,fixed:big_small:小:pc28_high_regular,target100_limit99,2026-09,2813,2813,-24.1,75.9,44.5,55.5,61.25,754,640,1419,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_bankroll,2026-07,9246,8247,-99.3,0.7,0.7,99.3,128.98,4115,0,4132,insufficient_for_one_unit,3462908,False,2026-07-29T12:03:30+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_bankroll,2026-08,6358,4715,-99.62,0.38,0.38,99.62,100.58,2331,0,2384,insufficient_for_one_unit,3468677,False,2026-08-12T20:50:00+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_bankroll,2026-09,2813,2813,-52.88,47.12,33.14,66.86,68.78,1394,0,1419,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_limit99,2026-07,9246,8246,-98.3,1.7,1.7,98.3,127.98,4115,0,4131,loss_limit,3462907,False,2026-07-29T12:00:00+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_limit99,2026-08,6358,4714,-98.62,1.38,1.38,98.62,99.58,2331,0,2383,loss_limit,3468676,False,2026-08-12T20:46:30+08:00
predictions,fixed:big_small:小:pc28_netdisk_regular,target100_limit99,2026-09,2813,2813,-52.88,47.12,33.14,66.86,68.78,1394,0,1419,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:大单:pc28_high_regular,target100_bankroll,2026-07,9246,1515,-99.67,0.33,0.33,99.67,169.84,201,143,1171,insufficient_for_one_unit,3456176,False,2026-07-12T18:00:30+08:00
predictions,fixed:combo:大单:pc28_high_regular,target100_bankroll,2026-08,6358,2113,-99.29,0.71,0.71,99.29,166.12,287,197,1629,insufficient_for_one_unit,3466065,False,2026-08-06T08:37:00+08:00
predictions,fixed:combo:大单:pc28_high_regular,target100_bankroll,2026-09,2813,1881,103.38,203.38,83.17,16.83,68.69,286,174,1421,profit_target,3478250,True,2026-09-05T15:54:30+08:00
predictions,fixed:combo:大单:pc28_high_regular,target100_limit99,2026-07,9246,1514,-98.67,1.33,1.33,98.67,168.84,201,143,1170,loss_limit,3456175,False,2026-07-12T17:57:00+08:00
