family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue
predictions,consensus789:odd_even:pc28_netdisk_regular,target10_limit20,2026-07,9238,364,-19.48,80.52,80.52,19.48,21.42,174,0,190,loss_limit,3455025
predictions,consensus789:odd_even:pc28_netdisk_regular,target10_limit20,2026-08,6234,699,-19.86,80.14,80.14,19.86,23.82,343,0,356,loss_limit,3464607
predictions,consensus789:odd_even:pc28_netdisk_regular,target10_limit20,2026-09,2751,279,-19.62,80.38,80.38,19.62,20.6,131,0,148,loss_limit,3476652
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit80,2026-07,9238,4,1.94,101.94,99.0,1.0,1.0,3,0,1,profit_target,3454665
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit80,2026-08,6234,8,1.9,101.9,99.94,0.06,1.04,5,0,3,profit_target,3463915
predictions,consensus789:odd_even:pc28_netdisk_regular,target1_limit80,2026-09,2751,393,1.02,101.02,77.34,22.66,23.64,199,0,194,profit_target,3476766
predictions,fixed:big_small:大:pc28_high_regular,bankroll_only,2026-07,9246,9246,8.25,108.25,39.15,60.85,88.75,2505,2115,4626,sample_end,3463907
predictions,fixed:big_small:大:pc28_high_regular,bankroll_only,2026-08,6358,5595,-99.3,0.7,0.7,99.3,146.2,1462,1329,2804,insufficient_for_one_unit,3475606
predictions,fixed:big_small:大:pc28_high_regular,bankroll_only,2026-09,2813,2813,58.25,158.25,96.5,3.5,52.05,785,634,1394,sample_end,3479182
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit20,2026-07,9246,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit20,2026-08,6358,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit20,2026-09,2813,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit99,2026-07,9246,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit99,2026-08,6358,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,fixed:big_small:大:pc28_high_regular,first_profit_limit99,2026-09,2813,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_high_regular,target1_limit20,2026-07,9246,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_high_regular,target1_limit20,2026-08,6358,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
predictions,fixed:big_small:大:pc28_high_regular,target1_limit20,2026-09,2813,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3476370
predictions,fixed:big_small:大:pc28_high_regular,target5_limit20,2026-07,9246,14,5.25,105.25,99.7,0.3,3.0,5,5,4,profit_target,3454675
predictions,fixed:big_small:大:pc28_high_regular,target5_limit20,2026-08,6358,8,6.25,106.25,99.85,0.15,2.0,5,0,3,profit_target,3463915
predictions,fixed:big_small:大:pc28_high_regular,target5_limit20,2026-09,2813,55,5.6,105.6,96.5,3.5,7.75,16,15,24,profit_target,3476424
predictions,fixed:big_small:大:pc28_high_regular,target10_limit20,2026-07,9246,30,10.35,110.35,99.7,0.3,3.0,11,9,10,profit_target,3454691
predictions,fixed:big_small:大:pc28_high_regular,target10_limit20,2026-08,6358,32,11.05,111.05,99.85,0.15,6.0,13,6,13,profit_target,3463939
predictions,fixed:big_small:大:pc28_high_regular,target10_limit20,2026-09,2813,66,10.0,110.0,96.5,3.5,7.75,20,19,27,profit_target,3476435
predictions,fixed:big_small:大:pc28_high_regular,target1_limit80,2026-07,9246,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3454662
predictions,fixed:big_small:大:pc28_high_regular,target1_limit80,2026-08,6358,1,1.85,101.85,100.0,0.0,0.0,1,0,0,profit_target,3463908
